#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-30.51999999999992            -1078.756717702509            -1.108724223541913e-12        -1.581505759684632e-12        488.8437474814478             
-30.50999999999992            -1079.058055565644            -1.188216192105074e-12        -1.770888991003972e-12        509.3833935977082             
-30.49999999999992            -1079.146281054098            -8.938405571257135e-13        -5.535849556537187e-13        501.586019663997              
-30.48999999999992            -1079.233135089753            -1.578653874290126e-12        -1.350169975822268e-12        493.6678729218641             
-30.47999999999992            -1079.318596684939            -1.194100374135587e-12        -1.387980008704659e-12        485.6300080767734             
-30.46999999999992            -1079.402645041335            -7.991940442764189e-13        -1.283598227708183e-12        477.4735401308047             
-30.45999999999992            -1079.485259560483            -1.972033647490434e-13        -1.028409996051138e-12        469.1996444314063             
-30.44999999999991            -1079.566419854326            -1.110306291352003e-12        -1.00271527192497e-12         460.8095566432031             
-30.43999999999991            -1079.646105755737            -6.129818874711646e-13        -7.561694326252422e-13        452.3045726422698             
-30.42999999999991            -1079.724297328993            -8.874290191585033e-13        -1.201445193332873e-12        443.6860483335227             
-30.41999999999991            -1079.800974880247            -7.530920331788593e-13        -1.92729165959804e-12         434.9553993923378             
-30.40999999999991            -1079.876118967925            -6.229461391171753e-13        -2.076297467290544e-12        426.1141009299619             
-30.39999999999991            -1079.949710413067            -1.529831816782234e-12        -1.34734931545033e-12         417.1636870841053             
-30.3899999999999             -1080.021730309584            -6.731004642546168e-13        -1.46377701626399e-12         408.1057505349858             
-30.3799999999999             -1080.092160034433            -5.338229858153909e-13        -9.427528202543556e-13        398.9419419476974             
-30.3699999999999             -1080.160981257682            -1.043415354118338e-12        -1.979322955536489e-12        389.6739693416654             
-30.3599999999999             -1080.228175952459            -2.948752353404416e-13        -1.086932627236692e-12        380.3035973880246             
-30.3499999999999             -1080.293726404769            -6.141753772226366e-13        -1.321779491414432e-12        370.8326466357365             
-30.3399999999999             -1080.28939206081             -1.749019332142332e-12        -1.458247585184314e-12        377.303934061375              
-30.3299999999999             -1080.354355409813            1.305344721203028e-13         -1.42282127919835e-12         367.1085002626933             
-30.31999999999989            -1080.417532707759            -6.540948338518149e-13        -1.039568604810359e-12        356.8375434450174             
-30.30999999999989            -1080.478910904659            -3.020708683187934e-13        -9.821097927964484e-13        346.492579120652              
-30.29999999999989            -1080.538477220919            -7.637935423021602e-13        -1.63774744633971e-12         336.0751900445987             
-30.28999999999989            -1080.596219158949            -6.736278201913137e-13        -1.17634721408244e-12         325.5870247429984             
-30.27999999999989            -1080.652124514516            -6.394398899267628e-13        -1.399503993596007e-12        315.0297959843055             
-30.26999999999989            -1080.706181387808            -3.582446839178743e-13        -1.199627853651353e-12        304.4052791948853             
-30.25999999999988            -1080.758378194231            -2.831571782602182e-13        -8.345869568354702e-13        293.7153108206633             
-30.24999999999988            -1080.808703674917            -1.873431965115913e-13        -1.188207518487694e-12        282.9617866359015             
-30.23999999999988            -1080.857146906922            -5.187950763430038e-13        -1.812407428997131e-12        272.1466600006535             
-30.22999999999988            -1080.903697313122            -4.247019402825458e-13        -1.874055381365092e-12        261.271940068769              
-30.21999999999988            -1080.948344671796            -7.308736948985484e-14        -1.720055521625685e-12        250.3396899474332             
-30.20999999999988            -1080.991079125871            -6.42718517296359e-13         -1.594455470432798e-12        239.3520248104616             
-30.19999999999987            -1081.031891191846            -1.289610779275918e-12        -2.004227946800219e-12        228.3111099665608             
-30.18999999999987            -1081.070771768371            -1.416970707435183e-12        -1.458617514965566e-12        217.2191588844396             
-30.17999999999987            -1081.10771214447             -4.980738044224609e-14        -1.295792900063431e-12        206.0784311763776             
-30.16999999999987            -1081.14270400743             -1.494290802206422e-14        -1.302784269352486e-12        194.8912305424047             
-30.15999999999987            -1081.175739450299            -1.117370085346181e-13        -1.964844953405986e-12        183.6599026759495             
-30.14999999999987            -1081.206810979035            -6.161043897279228e-13        -2.137589584505495e-12        172.3868331339106             
-30.13999999999987            -1081.235911519282            3.207850651776312e-13         -1.482028475635611e-12        161.0744451722988             
-30.12999999999986            -1081.263034422743            -7.294685688830072e-13        -1.540166865571235e-12        149.7251975491346             
-30.11999999999986            -1081.2881734732              -3.593132735790761e-13        -1.507105638204331e-12        138.3415822973858             
-30.10999999999986            -1081.311322892115            -1.175500669026164e-12        -1.931494460899463e-12        126.9261224690094             
-30.09999999999986            -1081.332477343842            -2.002981114301861e-13        -2.357995743107466e-12        115.4813698523708             
-30.08999999999986            -1081.35163194045             -2.264334553192526e-13        -1.491390344554588e-12        104.0099026648838             
-30.07999999999986            -1081.36878224613             -1.031605356693888e-13        -1.24760878711383e-12         92.51432322331866             
-30.06999999999985            -1081.383924281188            -7.325078044129185e-13        -1.424438691999264e-12        80.99725559315318             
-30.05999999999985            -1081.397054525653            -1.809108418626693e-13        -2.208683756721452e-12        69.46134321902181             
-30.04999999999985            -1081.408169922436            1.353153700200949e-13         -8.255288813652228e-13        57.9092465392539              
-30.03999999999985            -1081.417267880083            -1.075459166166581e-13        -1.133071067527247e-12        46.3436405850152              
-30.02999999999985            -1081.424346275126            -1.407617078452716e-12        -1.913724387292426e-12        34.76721256761107             
-30.01999999999985            -1081.429403453991            -5.478117959256679e-13        -1.684634202969715e-12        23.18265945480671             
-30.00999999999985            -1081.432438234483            -7.88272225271669e-13         -2.306245472372126e-12        11.59268553917941             
-29.99999999999984            -1081.433449906864            -6.862913015659444e-13        -1.334439503342111e-12        -5.782241352392248e-11        
-29.98999999999984            -1081.432438234483            1.113553693699032e-13         -1.141334422805063e-12        -11.59268553930068            
-29.97999999999984            -1081.429403453988            -3.521766211989075e-13        -1.614358820234418e-12        -23.18265945494877            
-29.96999999999984            -1081.424346275123            -1.298058882603925e-13        -8.986440064306933e-13        -34.76721256773639            
-29.95999999999984            -1081.417267880081            -1.19002030452009e-14         -1.249616729537273e-12        -46.34364058516368            
-29.94999999999984            -1081.408169922435            -5.723546636637877e-13        -1.344447123075021e-12        -57.90924653940512            
-29.93999999999983            -1081.397054525652            -8.317166400040321e-13        -1.706554168812158e-12        -69.46134321917935            
-29.92999999999983            -1081.383924281189            1.751238043468106e-13         -1.055595715004909e-12        -80.99725559330372            
