#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
23.54                         -959.1282012070916            1.057986298879373             -3.837955911578697            -0.8822906637366706           -0.05224841976070636          16.81051876364455             0.9272990857470202            -61.0590312949457             -15.7954711788358             6022.212471428607             
23.56                         -961.6638426279268            1.048901344551917             -3.839724702341167            -0.8483075725084968           0.4484087069877792            16.82910872215858             0.9184449554590887            -60.21397489347454            -15.17459669145334            6041.16581530097              
23.58                         -964.2193805086296            1.039591652396549             -3.841890313038347            -0.3605010510395141           0.05207708360621559           16.84775261633688             0.9233544191163872            -59.00000309092834            -14.20469106060703            6057.377240951352             
23.6                          -966.7429944157369            1.030628251979641             -3.844063502483786            -0.375532274523208            -0.06290734257925672          16.866381416043               0.9218216052017575            -57.73374141443161            -13.19094040376159            6062.581560294604             
23.62                         -969.230194511971             1.021938316908912             -3.845773780620621            -0.6922413766140667           -0.377130685837551            16.88499869828729             0.9235848154803646            -56.49544340248993            -12.35320700579944            6054.873227357498             
23.64                         -971.7380735462546            1.012676473461681             -3.847979731308957            -0.6455563136711422           -0.07473215965862333          16.90362141775064             0.9055331872241963            -54.67651672681837            -11.02830767426975            6047.837937867989             
23.66                         -974.1940919141656            1.003863506646871             -3.850030200670353            -0.2069564204205677           -0.1346460339463238           16.92222334029086             0.9621224336375623            -52.89000285882911            -9.771404449986667            6028.160577271281             
23.68                         -976.5655552273791            0.9961547422487856            -3.851569926522142            -0.2512865593942655           0.1862189953709618            16.94085788601525             0.9475034590238572            -51.56790749515223            -8.931874025329911            5988.680889973939             
23.7                          -978.9331625508319            0.9878891844573224            -3.852811098588305            -0.7231866606137843           -0.1111029723426436           16.95946263899497             0.9371435574620792            -49.8503899980555             -8.008548865025274            5945.752510514894             
23.72                         -981.2536356043457            0.9799524321413615            -3.854535289834222            -0.5665498038972641           -0.3701598071481553           16.97803449931746             0.9443454978180496            -47.97166070571557            -6.821164693472985            5895.821612754578             
23.74                         -983.4931741933652            0.9729050551925309            -3.855456573178509            -0.33117519617105             -0.2438433707411349           16.99660634513666             0.9309026570772192            -46.55726005865534            -6.172314960269719            5828.700468809896             
23.76                         -985.720599984646             0.965265482061904             -3.856196065673838            0.1966591467108351            -0.2560776799971222           17.01514100018543             0.9548823186129908            -44.69986866294513            -5.382058982308935            5759.138471497387             
