#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-29.39999999999975            -800.4628867847625            -2.017497280348834e-12        -1.072031352578051e-12        11876.34142919191             
-29.38999999999975            -802.5513993416989            -2.093047957174576e-12        -1.053379605764349e-12        12056.09568761036             
-29.37999999999975            -804.6712038614514            -1.709521413317816e-12        -1.123545700920658e-12        12234.91802249292             
-29.36999999999975            -806.8221361792588            -1.944333583026037e-12        -8.251177519014163e-13        12412.79108145728             
-29.35999999999974            -809.0040290967003            -1.418976047773413e-12        -1.4184209362611e-12          12589.69745407292             
-29.34999999999974            -811.2167123717546            -2.544076060928546e-12        -6.703526622686695e-13        12765.61967406826             
-29.33999999999974            -813.4600127092575            -1.855127162997405e-12        -8.29780688604842e-13         12940.54022165268             
-29.32999999999974            -815.7337537539692            -1.834643548193071e-12        -1.247668635073751e-12        13114.44156377425             
-29.31999999999974            -818.0377560797584            -1.962263684873733e-12        -9.587886040662852e-13        13287.30600625362             
-29.30999999999974            -820.3718371746874            -2.409017429982896e-12        -8.72191208145523e-13         13459.11592081063             
-29.29999999999973            -822.735811444171             -1.795841253482422e-12        -9.690026558928366e-13        13629.85359907133             
-29.28999999999973            -825.1294901993817            -2.478961480534281e-12        -1.306066366169034e-12        13799.50129244818             
-29.27999999999973            -827.5526816504804            -2.625066830574951e-12        -8.684164498617974e-13        13968.04121513301             
-29.26999999999973            -830.0051909004004            -1.746047750827984e-12        -1.289413020799657e-12        14135.45554719794             
-29.25999999999973            -832.4868199391648            -1.74765757421369e-12         -9.5723429183181e-13          14301.72643780276             
-29.24999999999973            -834.9973676387783            -1.757205492225467e-12        -1.775690705585475e-12        14466.83600850714             
-29.23999999999972            -837.536629748711             -1.76486603109538e-12         -8.308909116294672e-13        14630.76635668643             
-29.22999999999972            -840.1043988919764            -1.673272631563805e-12        -1.471045507628332e-12        14793.49955904931             
-29.21999999999972            -842.7004645618454            -1.822098028014807e-12        -1.040945107888547e-12        14955.01767525538             
-29.20999999999972            -845.3246131191885            -2.197519943791804e-12        -5.870859354217828e-13        15115.30275163101             
-29.19999999999972            -847.9766277904854            -1.69336766830952e-12         -1.011635220038443e-12        15274.33682498177             
-29.18999999999972            -850.6562886664946            -1.875499755499277e-12        -1.127098414599459e-12        15432.10192649881             
-29.17999999999972            -853.3633753052954            -1.702082919052827e-12        -1.336486477043763e-12        15588.67353816323             
-29.16999999999971            -856.0976726102264            -1.821653938804957e-12        -7.698286452750835e-13        15743.84659644187             
-29.15999999999971            -858.8589375498178            -1.823874384854207e-12        -1.212585587495596e-12        15897.69687520024             
-29.14999999999971            -861.6469376887965            -2.016942168836522e-12        -9.705569681273118e-13        16050.20642366999             
-29.13999999999971            -864.4614374601688            -2.030486889736949e-12        -6.09956529729061e-13         16201.35730641636             
-29.12999999999971            -867.3021981682708            -1.669608895582542e-12        -1.046052133801822e-12        16351.13160776498             
-29.11999999999971            -870.1689779926205            -1.723787779184249e-12        -1.128430682229009e-12        16499.51143630785             
-29.1099999999997             -873.061532088091             -1.955491324423519e-12        -6.912248551316225e-13        16646.48086396902             
-29.0999999999997             -875.9796125485782            -2.051359082599902e-12        -7.036593530074242e-13        16792.01822480624             
-29.0899999999997             -878.922967971017             -2.00495176017057e-12         -8.526512829121202e-13        16936.10763169429             
-29.0799999999997             -881.8913440903203            -2.053690550951615e-12        -7.842615445952106e-13        17078.73133686261             
-29.0699999999997             -884.8844835479418            -1.664113291610647e-12        -1.216582390384247e-12        17219.87164042367             
-29.0599999999997             -887.9021259006593            -1.625699574958617e-12        -5.493383525845275e-13        17359.51089529449             
-29.0499999999997             -890.9440076302187            -1.724453912999024e-12        -1.536326621476292e-12        17497.63151217761             
-29.03999999999969            -894.0098621538662            -1.557698414700326e-12        -1.17217346939924e-12         17634.21596459848             
-29.02999999999969            -897.0994198357537            -1.707523011873491e-12        -1.129762949858559e-12        17769.24679399673             
-29.01999999999969            -900.2124079992387            -1.613764677443896e-12        -6.907807659217724e-13        17902.70661486746             
-29.00999999999969            -903.3485509400862            -1.777800129332263e-12        -1.059596854702249e-12        18034.57811995021             
-28.99999999999969            -906.5075699405862            -1.778355240844576e-12        -9.767742170652127e-13        18164.84408546193             
-28.98999999999969            -909.6891832845771            -2.408184762714427e-12        -3.366196210663475e-13        18293.48737637129             
-28.97999999999968            -912.8931062734019            -1.814104422237506e-12        -8.342215807033426e-13        18420.4909517104              
-28.96999999999968            -916.119051242793             -2.129130205474894e-12        -4.207745263329343e-13        18545.83786992152             
-28.95999999999968            -919.3667275806846            -1.704358876253309e-12        -8.357758929378178e-13        18669.5112942348              
-28.94999999999968            -922.6358417459818            -1.290190176916894e-12        -2.990940828340172e-13        18791.49449807413             
-28.93999999999968            -925.9260972882595            -1.252553616382102e-12        -8.180123245438153e-13        18911.77087048747             
-28.92999999999968            -929.2371948684223            -1.701139229481896e-12        -1.577848962597272e-12        19030.32392159866             
-28.91999999999967            -932.5688322803128            -1.627586954100479e-12        -1.098232615959205e-12        19147.13728807697             
-28.90999999999967            -935.9207044732739            -2.019329148339466e-12        -4.036770917537069e-13        19262.19473862099             
-28.89999999999967            -939.2925035756749            -1.325828336007362e-12        -6.272760089132134e-13        19375.48017945386             
-28.88999999999967            -942.6839286843289            -1.225242129976323e-12        -1.907363156306019e-13        19487.05551047004             
-28.87999999999967            -946.0946602977924            -2.283229161292866e-12        -8.173461907290402e-13        19596.74786453267             
-28.86999999999967            -949.5243782969028            -2.362443574099871e-12        -4.283240429003854e-13        19704.62086842614             
-28.85999999999967            -952.9727637910046            -1.5539236564166e-12          -3.68594044175552e-13         19810.65903182609             
-28.84999999999966            -956.4394952002007            -1.607713961959689e-12        -5.46451772720502e-13         19914.84702949745             
-28.83999999999966            -959.9242482846381            -1.522504344819708e-12        -8.870681966755001e-13        20017.1697067819              
-28.82999999999966            -963.4266961747636            -1.061872811902731e-12        -8.606448886894214e-13        20117.61208507236             
-28.81999999999966            -966.9465094025235            -1.793287740525784e-12        -5.193623309196482e-13        20216.15936727011             
-28.80999999999966            -970.4833559335189            -2.362388062948639e-12        -3.037570195374428e-13        20312.79694322255             
-28.79999999999966            -974.0369012001062            -1.822042516863576e-12        -8.146816554699399e-13        20407.51039513689             
-28.78999999999965            -977.6068081354392            -1.288025242018875e-12        -6.987743716990735e-13        20500.2855029667              
-28.77999999999965            -981.1927372084531            -1.78385084481647e-12         -3.017586180931175e-13        20591.10824976845             
-28.76999999999965            -984.7943464597773            -2.747857497098494e-12        -1.145750161413162e-13        20679.96482702331             
-28.75999999999965            -988.4112915385716            -2.132571896851232e-12        -5.504485756091526e-13        20766.84163992263             
-28.74999999999965            -992.0432257402839            -1.228961377108817e-12        -1.798561299892754e-14        20851.72531261183             
-28.73999999999965            -995.6898000453253            -1.199929045014869e-12        -9.370282327836321e-13        20934.60269339067             
-28.72999999999965            -999.3506631586345            -1.379230063491832e-12        -5.040412531798211e-13        21015.46085986631             
-28.71999999999964            -1003.025461550151            -1.786459868924339e-12        -3.819167204710538e-14        21094.28712405522             
-28.70999999999964            -1006.713839496168            -1.990796416606599e-12        -7.682743330406083e-13        21171.06903743159             
-28.69999999999964            -1010.415439121559            -1.338429367336857e-12        -1.538769112130467e-13        21245.79439591827             
-28.68999999999964            -1014.129900442877            -1.219968570609353e-12        -6.268319197033634e-13        21318.45124481773             
-28.67999999999964            -1017.856861412301            -2.043365476822601e-12        2.822186928597148e-13         21389.02788367898             
-28.66999999999964            -1021.595960880834            -1.598554622006532e-12        -1.882938249764265e-13        21457.5387586568              
-28.65999999999963            -1025.346831511217            -1.582289854695773e-12        -1.384670156312495e-12        21523.92117774417             
-28.64999999999963            -1029.109103758241            -1.241340363833388e-12        -8.377742943821431e-13        21588.18986570096             
-28.63999999999963            -1032.88240777405             -2.07422967690718e-12         -2.169375790117556e-13        21650.33418647697             
-28.62999999999963            -1036.666372010831            -1.773969859897306e-12        -1.374012015276094e-12        21710.34572555167             
-28.61999999999963            -1040.460623080958            -7.280842595491777e-13        2.755573547119639e-13         21768.21052911476             
-28.60999999999963            -1044.264785581202            -1.325606291402437e-12        -1.175948227682966e-12        21823.92074084791             
-28.59999999999962            -1048.078482631084            -1.677380456754918e-12        -6.626921233987559e-13        21877.4668610034              
-28.58999999999962            -1051.90133571776             -1.19776411011685e-12         -8.101297410689767e-13        21928.83968453181             
-28.57999999999962            -1055.732964747819            -1.410538352786261e-12        -7.643885524544203e-13        21978.0303051511              
-28.56999999999962            -1059.572988099773            -1.430078278019664e-12        7.335243523698409e-13         22025.0301193207              
-28.55999999999962            -1063.421022677232            -1.199707000409944e-12        -1.403321903126198e-13        22069.83083011787             
-28.54999999999962            -1067.276683962754            -2.133571097573395e-12        -7.438494264988549e-15        22112.42445101453             
-28.53999999999962            -1071.13958607234             -1.325328735646281e-12        -3.33288951992472e-13         22152.80330955138             
-28.52999999999961            -1075.009341810562            -1.424915740955157e-12        -5.417888360170764e-14        22190.96005090765             
-28.51999999999961            -1078.885562726306            -1.017519402068956e-12        3.999023334699814e-13         22226.88764136406             
-28.50999999999961            -1082.767859169109            -2.265299059445169e-12        -4.437561429426751e-13        22260.57937165655             
-28.49999999999961            -1086.655840346068            -1.936617533004892e-12        -5.944134073843088e-13        22292.02886021893             
-28.48999999999961            -1090.549114379316            -1.565525487023933e-12        5.574429806642911e-13         22321.23005631271             
-28.47999999999961            -1094.447288364021            -1.846300889951635e-12        1.747491040759996e-13         22348.17724304146             
-28.4699999999996             -1098.349968426912            -1.279809591636649e-12        5.084821452783217e-14         22372.86504024841             
